/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 3,583,306 | K=8 | blocks/unit=-
----------------------------------------------------------------------
Ep   1 | loss 1.7554 | task 1.7554 | train 34.2% | test 40.6%
Ep   2 | loss 1.4614 | task 1.4614 | train 46.7% | test 52.0%
Ep   3 | loss 1.3097 | task 1.3097 | train 52.5% | test 55.5%
Ep   4 | loss 1.2338 | task 1.2338 | train 55.4% | test 59.6%
Ep   5 | loss 1.1662 | task 1.1662 | train 57.7% | test 59.7%
Ep   6 | loss 1.1086 | task 1.1086 | train 59.7% | test 61.9%
Ep   7 | loss 1.0605 | task 1.0605 | train 61.9% | test 63.4%
Ep   8 | loss 1.0145 | task 1.0145 | train 63.5% | test 65.3%
Ep   9 | loss 0.9783 | task 0.9783 | train 64.9% | test 66.2%
Ep  10 | loss 0.9422 | task 0.9422 | train 66.4% | test 67.6%
Ep  11 | loss 0.9090 | task 0.9090 | train 67.7% | test 68.2%
Ep  12 | loss 0.8768 | task 0.8768 | train 68.8% | test 70.8%
Ep  13 | loss 0.8519 | task 0.8519 | train 69.7% | test 70.1%
Ep  14 | loss 0.8236 | task 0.8236 | train 70.8% | test 72.0%
Ep  15 | loss 0.7974 | task 0.7974 | train 71.4% | test 72.4%
Ep  16 | loss 0.7711 | task 0.7711 | train 72.6% | test 72.5%
Ep  17 | loss 0.7511 | task 0.7511 | train 73.5% | test 74.9%
Ep  18 | loss 0.7323 | task 0.7323 | train 73.8% | test 74.2%
Ep  19 | loss 0.7088 | task 0.7088 | train 74.7% | test 75.2%
Ep  20 | loss 0.6910 | task 0.6910 | train 75.5% | test 75.5%
Ep  21 | loss 0.6752 | task 0.6752 | train 76.1% | test 76.1%
Ep  22 | loss 0.6578 | task 0.6578 | train 76.7% | test 76.1%
Ep  23 | loss 0.6407 | task 0.6407 | train 77.4% | test 76.1%
Ep  24 | loss 0.6305 | task 0.6305 | train 77.6% | test 77.1%
Ep  25 | loss 0.6103 | task 0.6103 | train 78.3% | test 77.3%
Ep  26 | loss 0.6084 | task 0.6084 | train 78.4% | test 76.1%
