/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep   1 | loss 1.7434 | task 1.7434 | train 35.3% | test 43.5%
Ep   2 | loss 1.4484 | task 1.4484 | train 47.4% | test 51.8%
Ep   3 | loss 1.3168 | task 1.3168 | train 52.4% | test 55.5%
Ep   4 | loss 1.2357 | task 1.2357 | train 55.3% | test 57.5%
Ep   5 | loss 1.1714 | task 1.1714 | train 57.6% | test 61.1%
Ep   6 | loss 1.1125 | task 1.1125 | train 60.1% | test 61.2%
Ep   7 | loss 1.0618 | task 1.0618 | train 61.7% | test 64.4%
Ep   8 | loss 1.0177 | task 1.0177 | train 63.6% | test 65.4%
Ep   9 | loss 0.9770 | task 0.9770 | train 65.0% | test 66.9%
Ep  10 | loss 0.9409 | task 0.9409 | train 66.5% | test 68.0%
Ep  11 | loss 0.9030 | task 0.9030 | train 67.7% | test 70.3%
Ep  12 | loss 0.8790 | task 0.8790 | train 68.6% | test 69.2%
Ep  13 | loss 0.8556 | task 0.8556 | train 69.6% | test 71.2%
Ep  14 | loss 0.8217 | task 0.8217 | train 70.7% | test 71.7%
Ep  15 | loss 0.8008 | task 0.8008 | train 71.5% | test 72.5%
Ep  16 | loss 0.7791 | task 0.7791 | train 72.2% | test 73.0%
Ep  17 | loss 0.7560 | task 0.7560 | train 73.3% | test 73.3%
Ep  18 | loss 0.7424 | task 0.7424 | train 73.6% | test 74.3%
Ep  19 | loss 0.7215 | task 0.7215 | train 74.3% | test 74.1%
Ep  20 | loss 0.6993 | task 0.6993 | train 75.1% | test 75.2%
Ep  21 | loss 0.6825 | task 0.6825 | train 75.7% | test 76.2%
Ep  22 | loss 0.6727 | task 0.6727 | train 76.1% | test 76.3%
Ep  23 | loss 0.6524 | task 0.6524 | train 76.8% | test 76.9%
Ep  24 | loss 0.6415 | task 0.6415 | train 77.1% | test 76.5%
Ep  25 | loss 0.6259 | task 0.6259 | train 77.8% | test 78.0%
Ep  26 | loss 0.6184 | task 0.6184 | train 78.0% | test 77.4%
Ep  27 | loss 0.5934 | task 0.5934 | train 78.8% | test 77.7%
Ep  28 | loss 0.5872 | task 0.5872 | train 79.1% | test 77.5%
Ep  29 | loss 0.5714 | task 0.5714 | train 79.5% | test 78.2%
Ep  30 | loss 0.5651 | task 0.5651 | train 80.0% | test 79.3%
Ep  31 | loss 0.5557 | task 0.5557 | train 80.1% | test 78.6%
Ep  32 | loss 0.5412 | task 0.5412 | train 80.8% | test 78.0%
Ep  33 | loss 0.5308 | task 0.5308 | train 81.0% | test 78.6%
Ep  34 | loss 0.5257 | task 0.5257 | train 81.4% | test 79.4%
Ep  35 | loss 0.5102 | task 0.5102 | train 81.9% | test 79.0%
Ep  36 | loss 0.5016 | task 0.5016 | train 82.2% | test 78.8%
Ep  37 | loss 0.4908 | task 0.4908 | train 82.5% | test 79.5%
Ep  38 | loss 0.4900 | task 0.4900 | train 82.6% | test 79.2%
Ep  39 | loss 0.4755 | task 0.4755 | train 83.0% | test 79.7%
Ep  40 | loss 0.4713 | task 0.4713 | train 83.4% | test 79.7%
Ep  41 | loss 0.4633 | task 0.4633 | train 83.5% | test 79.6%
Ep  42 | loss 0.4521 | task 0.4521 | train 83.9% | test 80.1%
Ep  43 | loss 0.4397 | task 0.4397 | train 84.2% | test 80.8%
Ep  44 | loss 0.4330 | task 0.4330 | train 84.5% | test 80.0%
Ep  45 | loss 0.4336 | task 0.4336 | train 84.3% | test 80.5%
Ep  46 | loss 0.4234 | task 0.4234 | train 84.8% | test 79.6%
Ep  47 | loss 0.4151 | task 0.4151 | train 85.1% | test 80.3%
Ep  48 | loss 0.4077 | task 0.4077 | train 85.2% | test 80.5%
Ep  49 | loss 0.3996 | task 0.3996 | train 85.8% | test 80.7%
