/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 14,244,490 | K=8
----------------------------------------------------------------------
Ep   1 | loss 1.7882 | task 1.7882 | train 33.2% | test 37.7%
Ep   2 | loss 1.4992 | task 1.4992 | train 45.0% | test 49.3%
Ep   3 | loss 1.3713 | task 1.3713 | train 49.8% | test 54.0%
Ep   4 | loss 1.2987 | task 1.2987 | train 52.6% | test 54.6%
Ep   5 | loss 1.2410 | task 1.2410 | train 55.0% | test 57.1%
Ep   6 | loss 1.2040 | task 1.2040 | train 56.3% | test 58.4%
Ep   7 | loss 1.1546 | task 1.1546 | train 58.1% | test 60.9%
Ep   8 | loss 1.1123 | task 1.1123 | train 59.9% | test 61.6%
Ep   9 | loss 1.0735 | task 1.0735 | train 61.4% | test 62.7%
Ep  10 | loss 1.0351 | task 1.0351 | train 63.1% | test 62.8%
Ep  11 | loss 1.0076 | task 1.0076 | train 63.9% | test 65.5%
Ep  12 | loss 0.9729 | task 0.9729 | train 65.1% | test 66.7%
Ep  13 | loss 0.9401 | task 0.9401 | train 66.4% | test 67.1%
Ep  14 | loss 0.9132 | task 0.9132 | train 67.4% | test 67.5%
Ep  15 | loss 0.8867 | task 0.8867 | train 68.0% | test 69.9%
Ep  16 | loss 0.8592 | task 0.8592 | train 69.3% | test 69.2%
Ep  17 | loss 0.8387 | task 0.8387 | train 70.1% | test 69.4%
Ep  18 | loss 0.8145 | task 0.8145 | train 71.0% | test 71.2%
Ep  19 | loss 0.7927 | task 0.7927 | train 71.8% | test 71.7%
Ep  20 | loss 0.7639 | task 0.7639 | train 72.8% | test 72.4%
Ep  21 | loss 0.7458 | task 0.7458 | train 73.6% | test 72.6%
Ep  22 | loss 0.7193 | task 0.7193 | train 74.2% | test 73.9%
Ep  23 | loss 0.7034 | task 0.7034 | train 75.0% | test 73.3%
Ep  24 | loss 0.6789 | task 0.6789 | train 75.8% | test 74.2%
Ep  25 | loss 0.6639 | task 0.6639 | train 76.4% | test 74.8%
Ep  26 | loss 0.6434 | task 0.6434 | train 77.0% | test 75.6%
Ep  27 | loss 0.6310 | task 0.6310 | train 77.5% | test 76.1%
Ep  28 | loss 0.6087 | task 0.6087 | train 78.2% | test 76.8%
Ep  29 | loss 0.5869 | task 0.5869 | train 79.0% | test 77.0%
Ep  30 | loss 0.5736 | task 0.5736 | train 79.5% | test 77.4%
Ep  31 | loss 0.5566 | task 0.5566 | train 80.2% | test 77.9%
Ep  32 | loss 0.5420 | task 0.5420 | train 80.7% | test 78.5%
Ep  33 | loss 0.5254 | task 0.5254 | train 81.3% | test 78.8%
Ep  34 | loss 0.5070 | task 0.5070 | train 81.9% | test 78.0%
Ep  35 | loss 0.4909 | task 0.4909 | train 82.5% | test 78.8%
Ep  36 | loss 0.4691 | task 0.4691 | train 83.2% | test 78.7%
Ep  37 | loss 0.4586 | task 0.4586 | train 83.3% | test 78.1%
Ep  38 | loss 0.4410 | task 0.4410 | train 84.3% | test 79.4%
Ep  39 | loss 0.4286 | task 0.4286 | train 84.7% | test 78.9%
Ep  40 | loss 0.4124 | task 0.4124 | train 85.2% | test 79.9%
Ep  41 | loss 0.3994 | task 0.3994 | train 85.7% | test 79.3%
Ep  42 | loss 0.3823 | task 0.3823 | train 86.4% | test 79.5%
Ep  43 | loss 0.3673 | task 0.3673 | train 86.8% | test 79.8%
Ep  44 | loss 0.3537 | task 0.3537 | train 87.3% | test 80.3%
Ep  45 | loss 0.3398 | task 0.3398 | train 87.8% | test 80.6%
Ep  46 | loss 0.3272 | task 0.3272 | train 88.3% | test 80.0%
Ep  47 | loss 0.3065 | task 0.3065 | train 88.9% | test 80.1%
Ep  48 | loss 0.2959 | task 0.2959 | train 89.3% | test 80.3%
Ep  49 | loss 0.2840 | task 0.2840 | train 89.8% | test 80.5%
Ep  50 | loss 0.2705 | task 0.2705 | train 90.2% | test 80.2%
Ep  51 | loss 0.2594 | task 0.2594 | train 90.7% | test 79.8%
Ep  52 | loss 0.2478 | task 0.2478 | train 91.0% | test 79.7%
Ep  53 | loss 0.2332 | task 0.2332 | train 91.6% | test 80.7%
Ep  54 | loss 0.2251 | task 0.2251 | train 91.8% | test 80.7%
Ep  55 | loss 0.2128 | task 0.2128 | train 92.4% | test 80.8%
Ep  56 | loss 0.2000 | task 0.2000 | train 92.7% | test 80.6%
Ep  57 | loss 0.1921 | task 0.1921 | train 93.1% | test 81.2%
Ep  58 | loss 0.1811 | task 0.1811 | train 93.5% | test 80.4%
Ep  59 | loss 0.1691 | task 0.1691 | train 94.0% | test 80.7%
Ep  60 | loss 0.1621 | task 0.1621 | train 94.2% | test 81.0%
Ep  61 | loss 0.1540 | task 0.1540 | train 94.5% | test 81.0%
Ep  62 | loss 0.1474 | task 0.1474 | train 94.7% | test 80.8%
Ep  63 | loss 0.1389 | task 0.1389 | train 95.0% | test 80.5%
Ep  64 | loss 0.1295 | task 0.1295 | train 95.3% | test 81.3%
Ep  65 | loss 0.1222 | task 0.1222 | train 95.7% | test 81.1%
Ep  66 | loss 0.1157 | task 0.1157 | train 96.0% | test 81.0%
Ep  67 | loss 0.1102 | task 0.1102 | train 96.0% | test 81.6%
Ep  68 | loss 0.1008 | task 0.1008 | train 96.5% | test 81.5%
Ep  69 | loss 0.0955 | task 0.0955 | train 96.6% | test 80.9%
Ep  70 | loss 0.0946 | task 0.0946 | train 96.6% | test 81.4%
Ep  71 | loss 0.0863 | task 0.0863 | train 96.9% | test 81.3%
Ep  72 | loss 0.0803 | task 0.0803 | train 97.2% | test 81.5%
Ep  73 | loss 0.0763 | task 0.0763 | train 97.3% | test 81.5%
Ep  74 | loss 0.0728 | task 0.0728 | train 97.4% | test 81.3%
Ep  75 | loss 0.0663 | task 0.0663 | train 97.7% | test 81.4%
Ep  76 | loss 0.0641 | task 0.0641 | train 97.7% | test 82.0%
Ep  77 | loss 0.0573 | task 0.0573 | train 98.0% | test 81.8%
Ep  78 | loss 0.0569 | task 0.0569 | train 98.0% | test 81.8%
Ep  79 | loss 0.0521 | task 0.0521 | train 98.2% | test 81.8%
Ep  80 | loss 0.0478 | task 0.0478 | train 98.3% | test 81.9%
Ep  81 | loss 0.0459 | task 0.0459 | train 98.4% | test 82.0%
Ep  82 | loss 0.0444 | task 0.0444 | train 98.5% | test 81.6%
Ep  83 | loss 0.0406 | task 0.0406 | train 98.6% | test 81.7%
Ep  84 | loss 0.0383 | task 0.0383 | train 98.7% | test 82.0%
Ep  85 | loss 0.0376 | task 0.0376 | train 98.7% | test 81.8%
Ep  86 | loss 0.0355 | task 0.0355 | train 98.8% | test 81.8%
Ep  87 | loss 0.0335 | task 0.0335 | train 98.8% | test 82.1%
Ep  88 | loss 0.0311 | task 0.0311 | train 98.9% | test 82.2%
Ep  89 | loss 0.0287 | task 0.0287 | train 99.0% | test 82.0%
Ep  90 | loss 0.0284 | task 0.0284 | train 99.0% | test 81.7%
Ep  91 | loss 0.0278 | task 0.0278 | train 99.0% | test 82.1%
Ep  92 | loss 0.0262 | task 0.0262 | train 99.1% | test 81.8%
