Loading ImageNet64 from HuggingFace...
Model: baseline | Params: 14,699,368 | K=8 | blocks/unit=-
----------------------------------------------------------------------
  step 100/5005 | loss 6.8540 | acc 0.4% | 23s elapsed | eta 1107s
  step 200/5005 | loss 6.7412 | acc 0.5% | 44s elapsed | eta 1068s
  step 300/5005 | loss 6.6539 | acc 0.7% | 66s elapsed | eta 1040s
  step 400/5005 | loss 6.5852 | acc 0.9% | 88s elapsed | eta 1016s
  step 500/5005 | loss 6.5270 | acc 1.0% | 110s elapsed | eta 992s
  step 600/5005 | loss 6.4721 | acc 1.2% | 132s elapsed | eta 969s
  step 700/5005 | loss 6.4176 | acc 1.3% | 154s elapsed | eta 947s
  step 800/5005 | loss 6.3671 | acc 1.5% | 176s elapsed | eta 924s
  step 900/5005 | loss 6.3178 | acc 1.7% | 198s elapsed | eta 902s
  step 1000/5005 | loss 6.2714 | acc 1.9% | 220s elapsed | eta 880s
  step 1100/5005 | loss 6.2273 | acc 2.1% | 242s elapsed | eta 857s
  step 1200/5005 | loss 6.1840 | acc 2.3% | 263s elapsed | eta 835s
  step 1300/5005 | loss 6.1440 | acc 2.5% | 285s elapsed | eta 813s
  step 1400/5005 | loss 6.1054 | acc 2.6% | 307s elapsed | eta 791s
  step 1500/5005 | loss 6.0685 | acc 2.8% | 329s elapsed | eta 769s
  step 1600/5005 | loss 6.0344 | acc 3.0% | 351s elapsed | eta 747s
  step 1700/5005 | loss 6.0009 | acc 3.2% | 373s elapsed | eta 725s
  step 1800/5005 | loss 5.9691 | acc 3.3% | 395s elapsed | eta 703s
  step 1900/5005 | loss 5.9383 | acc 3.5% | 417s elapsed | eta 681s
  step 2000/5005 | loss 5.9091 | acc 3.7% | 439s elapsed | eta 659s
  step 2100/5005 | loss 5.8812 | acc 3.8% | 461s elapsed | eta 637s
  step 2200/5005 | loss 5.8557 | acc 4.0% | 482s elapsed | eta 615s
  step 2300/5005 | loss 5.8300 | acc 4.1% | 504s elapsed | eta 593s
  step 2400/5005 | loss 5.8049 | acc 4.3% | 526s elapsed | eta 571s
  step 2500/5005 | loss 5.7809 | acc 4.4% | 548s elapsed | eta 549s
  step 2600/5005 | loss 5.7582 | acc 4.6% | 570s elapsed | eta 527s
  step 2700/5005 | loss 5.7361 | acc 4.7% | 592s elapsed | eta 505s
  step 2800/5005 | loss 5.7155 | acc 4.9% | 614s elapsed | eta 483s
  step 2900/5005 | loss 5.6949 | acc 5.0% | 636s elapsed | eta 462s
  step 3000/5005 | loss 5.6749 | acc 5.1% | 658s elapsed | eta 440s
  step 3100/5005 | loss 5.6555 | acc 5.3% | 680s elapsed | eta 418s
  step 3200/5005 | loss 5.6367 | acc 5.4% | 702s elapsed | eta 396s
  step 3300/5005 | loss 5.6178 | acc 5.5% | 723s elapsed | eta 374s
  step 3400/5005 | loss 5.5992 | acc 5.7% | 745s elapsed | eta 352s
  step 3500/5005 | loss 5.5820 | acc 5.8% | 767s elapsed | eta 330s
  step 3600/5005 | loss 5.5642 | acc 5.9% | 789s elapsed | eta 308s
  step 3700/5005 | loss 5.5475 | acc 6.0% | 811s elapsed | eta 286s
  step 3800/5005 | loss 5.5307 | acc 6.1% | 833s elapsed | eta 264s
  step 3900/5005 | loss 5.5147 | acc 6.2% | 855s elapsed | eta 242s
  step 4000/5005 | loss 5.4996 | acc 6.4% | 877s elapsed | eta 220s
  step 4100/5005 | loss 5.4844 | acc 6.5% | 899s elapsed | eta 198s
  step 4200/5005 | loss 5.4694 | acc 6.6% | 921s elapsed | eta 176s
  step 4300/5005 | loss 5.4546 | acc 6.7% | 942s elapsed | eta 155s
  step 4400/5005 | loss 5.4405 | acc 6.8% | 964s elapsed | eta 133s
  step 4500/5005 | loss 5.4264 | acc 6.9% | 986s elapsed | eta 111s
  step 4600/5005 | loss 5.4126 | acc 7.0% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 5.3990 | acc 7.1% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 5.3855 | acc 7.2% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 5.3721 | acc 7.3% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 5.3591 | acc 7.4% | 1096s elapsed | eta 1s
Ep   1 | loss 5.3585 | task 5.3585 | train 7.4% | test 12.6% | 1108s
  step 100/5005 | loss 4.6930 | acc 13.1% | 22s elapsed | eta 1084s
  step 200/5005 | loss 4.6716 | acc 13.1% | 44s elapsed | eta 1057s
  step 300/5005 | loss 4.6566 | acc 13.3% | 66s elapsed | eta 1034s
  step 400/5005 | loss 4.6492 | acc 13.4% | 88s elapsed | eta 1011s
  step 500/5005 | loss 4.6482 | acc 13.4% | 110s elapsed | eta 989s
  step 600/5005 | loss 4.6423 | acc 13.4% | 132s elapsed | eta 967s
  step 700/5005 | loss 4.6359 | acc 13.5% | 154s elapsed | eta 944s
  step 800/5005 | loss 4.6282 | acc 13.6% | 175s elapsed | eta 922s
  step 900/5005 | loss 4.6207 | acc 13.7% | 197s elapsed | eta 900s
  step 1000/5005 | loss 4.6142 | acc 13.7% | 219s elapsed | eta 878s
  step 1100/5005 | loss 4.6064 | acc 13.8% | 241s elapsed | eta 856s
  step 1200/5005 | loss 4.5986 | acc 13.9% | 263s elapsed | eta 834s
  step 1300/5005 | loss 4.5914 | acc 14.0% | 285s elapsed | eta 812s
  step 1400/5005 | loss 4.5855 | acc 14.1% | 307s elapsed | eta 790s
  step 1500/5005 | loss 4.5786 | acc 14.1% | 329s elapsed | eta 768s
  step 1600/5005 | loss 4.5713 | acc 14.2% | 351s elapsed | eta 746s
  step 1700/5005 | loss 4.5647 | acc 14.3% | 373s elapsed | eta 724s
  step 1800/5005 | loss 4.5581 | acc 14.4% | 395s elapsed | eta 702s
  step 1900/5005 | loss 4.5506 | acc 14.5% | 416s elapsed | eta 681s
  step 2000/5005 | loss 4.5429 | acc 14.6% | 438s elapsed | eta 659s
  step 2100/5005 | loss 4.5362 | acc 14.7% | 460s elapsed | eta 637s
  step 2200/5005 | loss 4.5288 | acc 14.7% | 482s elapsed | eta 615s
  step 2300/5005 | loss 4.5225 | acc 14.8% | 504s elapsed | eta 593s
  step 2400/5005 | loss 4.5160 | acc 14.9% | 526s elapsed | eta 571s
  step 2500/5005 | loss 4.5099 | acc 15.0% | 548s elapsed | eta 549s
  step 2600/5005 | loss 4.5037 | acc 15.0% | 570s elapsed | eta 527s
  step 2700/5005 | loss 4.4969 | acc 15.1% | 592s elapsed | eta 505s
  step 2800/5005 | loss 4.4899 | acc 15.2% | 614s elapsed | eta 483s
  step 2900/5005 | loss 4.4836 | acc 15.3% | 635s elapsed | eta 461s
  step 3000/5005 | loss 4.4771 | acc 15.3% | 657s elapsed | eta 439s
  step 3100/5005 | loss 4.4710 | acc 15.4% | 679s elapsed | eta 417s
  step 3200/5005 | loss 4.4644 | acc 15.5% | 701s elapsed | eta 396s
  step 3300/5005 | loss 4.4572 | acc 15.6% | 723s elapsed | eta 374s
  step 3400/5005 | loss 4.4511 | acc 15.7% | 745s elapsed | eta 352s
  step 3500/5005 | loss 4.4443 | acc 15.7% | 767s elapsed | eta 330s
  step 3600/5005 | loss 4.4366 | acc 15.8% | 789s elapsed | eta 308s
  step 3700/5005 | loss 4.4295 | acc 15.9% | 811s elapsed | eta 286s
  step 3800/5005 | loss 4.4233 | acc 16.0% | 833s elapsed | eta 264s
  step 3900/5005 | loss 4.4159 | acc 16.1% | 855s elapsed | eta 242s
  step 4000/5005 | loss 4.4092 | acc 16.2% | 876s elapsed | eta 220s
  step 4100/5005 | loss 4.4026 | acc 16.3% | 898s elapsed | eta 198s
  step 4200/5005 | loss 4.3960 | acc 16.3% | 920s elapsed | eta 176s
  step 4300/5005 | loss 4.3893 | acc 16.4% | 942s elapsed | eta 154s
  step 4400/5005 | loss 4.3826 | acc 16.5% | 964s elapsed | eta 133s
  step 4500/5005 | loss 4.3761 | acc 16.6% | 986s elapsed | eta 111s
