Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 100/5005 | loss 6.8707 | acc 0.3% | 24s elapsed | eta 1167s
  step 200/5005 | loss 6.7689 | acc 0.5% | 47s elapsed | eta 1128s
  step 300/5005 | loss 6.6984 | acc 0.6% | 69s elapsed | eta 1080s
  step 400/5005 | loss 6.6313 | acc 0.7% | 91s elapsed | eta 1052s
  step 500/5005 | loss 6.5728 | acc 0.9% | 116s elapsed | eta 1045s
  step 600/5005 | loss 6.5149 | acc 1.0% | 139s elapsed | eta 1018s
  step 700/5005 | loss 6.4587 | acc 1.2% | 163s elapsed | eta 999s
  step 800/5005 | loss 6.4069 | acc 1.4% | 184s elapsed | eta 967s
  step 900/5005 | loss 6.3591 | acc 1.5% | 208s elapsed | eta 949s
  step 1000/5005 | loss 6.3116 | acc 1.7% | 236s elapsed | eta 944s
  step 1100/5005 | loss 6.2659 | acc 1.9% | 269s elapsed | eta 955s
  step 1200/5005 | loss 6.2222 | acc 2.1% | 290s elapsed | eta 920s
  step 1300/5005 | loss 6.1805 | acc 2.3% | 314s elapsed | eta 894s
  step 1400/5005 | loss 6.1381 | acc 2.5% | 337s elapsed | eta 867s
  step 1500/5005 | loss 6.0971 | acc 2.7% | 365s elapsed | eta 852s
  step 1600/5005 | loss 6.0578 | acc 2.9% | 402s elapsed | eta 856s
  step 1700/5005 | loss 6.0207 | acc 3.1% | 441s elapsed | eta 857s
  step 1800/5005 | loss 5.9848 | acc 3.3% | 466s elapsed | eta 830s
  step 1900/5005 | loss 5.9508 | acc 3.5% | 491s elapsed | eta 803s
  step 2000/5005 | loss 5.9177 | acc 3.7% | 514s elapsed | eta 772s
  step 2100/5005 | loss 5.8862 | acc 3.8% | 542s elapsed | eta 749s
  step 2200/5005 | loss 5.8555 | acc 4.0% | 578s elapsed | eta 736s
  step 2300/5005 | loss 5.8259 | acc 4.2% | 611s elapsed | eta 719s
  step 2400/5005 | loss 5.7980 | acc 4.4% | 637s elapsed | eta 692s
  step 2500/5005 | loss 5.7697 | acc 4.6% | 661s elapsed | eta 663s
  step 2600/5005 | loss 5.7428 | acc 4.8% | 686s elapsed | eta 635s
  step 2700/5005 | loss 5.7166 | acc 4.9% | 722s elapsed | eta 616s
  step 2800/5005 | loss 5.6917 | acc 5.1% | 760s elapsed | eta 598s
  step 2900/5005 | loss 5.6671 | acc 5.3% | 789s elapsed | eta 573s
  step 3000/5005 | loss 5.6429 | acc 5.5% | 812s elapsed | eta 543s
  step 3100/5005 | loss 5.6197 | acc 5.6% | 835s elapsed | eta 513s
  step 3200/5005 | loss 5.5966 | acc 5.8% | 858s elapsed | eta 484s
  step 3300/5005 | loss 5.5749 | acc 5.9% | 891s elapsed | eta 460s
  step 3400/5005 | loss 5.5541 | acc 6.1% | 930s elapsed | eta 439s
  step 3500/5005 | loss 5.5327 | acc 6.3% | 961s elapsed | eta 413s
  step 3600/5005 | loss 5.5113 | acc 6.4% | 984s elapsed | eta 384s
  step 3700/5005 | loss 5.4909 | acc 6.6% | 1007s elapsed | eta 355s
  step 3800/5005 | loss 5.4715 | acc 6.7% | 1036s elapsed | eta 328s
  step 3900/5005 | loss 5.4523 | acc 6.9% | 1073s elapsed | eta 304s
  step 4000/5005 | loss 5.4337 | acc 7.0% | 1109s elapsed | eta 279s
  step 4100/5005 | loss 5.4150 | acc 7.2% | 1131s elapsed | eta 250s
  step 4200/5005 | loss 5.3971 | acc 7.3% | 1155s elapsed | eta 221s
  step 4300/5005 | loss 5.3789 | acc 7.5% | 1179s elapsed | eta 193s
  step 4400/5005 | loss 5.3612 | acc 7.6% | 1214s elapsed | eta 167s
  step 4500/5005 | loss 5.3433 | acc 7.8% | 1250s elapsed | eta 140s
  step 4600/5005 | loss 5.3268 | acc 7.9% | 1279s elapsed | eta 113s
  step 4700/5005 | loss 5.3100 | acc 8.1% | 1302s elapsed | eta 85s
  step 4800/5005 | loss 5.2936 | acc 8.2% | 1324s elapsed | eta 57s
  step 4900/5005 | loss 5.2773 | acc 8.3% | 1346s elapsed | eta 29s
  step 5000/5005 | loss 5.2610 | acc 8.5% | 1378s elapsed | eta 1s
Ep   1 | loss 5.2602 | task 5.2602 | cons 0.0000 | train 8.5% | test 15.4% | 1419s
  step 100/5005 | loss 4.3831 | acc 16.5% | 30s elapsed | eta 1486s
  step 200/5005 | loss 4.3743 | acc 16.6% | 55s elapsed | eta 1319s
  step 300/5005 | loss 4.3715 | acc 16.6% | 79s elapsed | eta 1244s
